UNITNAME,ARCHIVE_PATH,ID
b'DES1019+2334',b'DEC/multiepoch/delve/r5918/DES1019+2334/p01',21656229
b'DES1022-0958',b'DEC/multiepoch/delve/r5918/DES1022-0958/p01',21656315
b'DES1023-0458',b'DEC/multiepoch/delve/r5918/DES1023-0458/p01',21656334
b'DES1026+1500',b'DEC/multiepoch/delve/r5918/DES1026+1500/p01',21656404
b'DES1026-1207',b'DEC/multiepoch/delve/r5918/DES1026-1207/p01',21656414
b'DES1027+1043',b'DEC/multiepoch/delve/r5918/DES1027+1043/p01',21656428
b'DES1027-1124',b'DEC/multiepoch/delve/r5918/DES1027-1124/p01',21656440
b'DES1028+0001',b'DEC/multiepoch/delve/r5918/DES1028+0001/p01',21656446
b'DES1028+0043',b'DEC/multiepoch/delve/r5918/DES1028+0043/p01',21656447
b'DES1028+0126',b'DEC/multiepoch/delve/r5918/DES1028+0126/p01',21656448
b'DES1028+2334',b'DEC/multiepoch/delve/r5918/DES1028+2334/p01',21656457
b'DES1028-1707',b'DEC/multiepoch/delve/r5918/DES1028-1707/p01',21656468
b'DES1028-2332',b'DEC/multiepoch/delve/r5918/DES1028-2332/p01',21656470
b'DES1030+0543',b'DEC/multiepoch/delve/r5918/DES1030+0543/p01',21656505
b'DES1030+1043',b'DEC/multiepoch/delve/r5918/DES1030+1043/p01',21656507
b'DES1137+1126',b'DEC/multiepoch/delve/r5918/DES1137+1126/p01',21658222
b'DES1147-2206',b'DEC/multiepoch/delve/r5918/DES1147-2206/p01',21658488
b'DES0954+2334',b'DEC/multiepoch/delve/r5918/DES0954+2334/p02',21658830
b'DES1139-1832',b'DEC/multiepoch/delve/r5918/DES1139-1832/p01',21658288
b'DES0708+2751',b'DEC/multiepoch/delve/r5918/DES0708+2751/p01',21648259
b'DES0823+2126',b'DEC/multiepoch/delve/r5918/DES0823+2126/p01',21652916
b'DES0835-2124',b'DEC/multiepoch/delve/r5918/DES0835-2124/p01',21653289
b'DES0846+0335',b'DEC/multiepoch/delve/r5918/DES0846+0335/p01',21653541
b'DES0847-2415',b'DEC/multiepoch/delve/r5918/DES0847-2415/p01',21653594
b'DES0857-0458',b'DEC/multiepoch/delve/r5918/DES0857-0458/p01',21654145
b'DES0924+1000',b'DEC/multiepoch/delve/r5918/DES0924+1000/p01',21654823
b'DES0926+0543',b'DEC/multiepoch/delve/r5918/DES0926+0543/p01',21654876
b'DES0928-0915',b'DEC/multiepoch/delve/r5918/DES0928-0915/p01',21654944
b'DES0928-1958',b'DEC/multiepoch/delve/r5918/DES0928-1958/p01',21654949
b'DES0928-2415',b'DEC/multiepoch/delve/r5918/DES0928-2415/p01',21654950
b'DES0929-1832',b'DEC/multiepoch/delve/r5918/DES0929-1832/p01',21654969
b'DES0930+1917',b'DEC/multiepoch/delve/r5918/DES0930+1917/p01',21654984
b'DES0930-1541',b'DEC/multiepoch/delve/r5918/DES0930-1541/p01',21654998
b'DES0931+2000',b'DEC/multiepoch/delve/r5918/DES0931+2000/p01',21655011
b'DES0931-2415',b'DEC/multiepoch/delve/r5918/DES0931-2415/p01',21655025
b'DES0933+0626',b'DEC/multiepoch/delve/r5918/DES0933+0626/p01',21655052
b'DES0933+1543',b'DEC/multiepoch/delve/r5918/DES0933+1543/p01',21655059
b'DES0934+1126',b'DEC/multiepoch/delve/r5918/DES0934+1126/p01',21655083
b'DES0936-0124',b'DEC/multiepoch/delve/r5918/DES0936-0124/p01',21655143
b'DES0936-0624',b'DEC/multiepoch/delve/r5918/DES0936-0624/p01',21655145
b'DES0938-1041',b'DEC/multiepoch/delve/r5918/DES0938-1041/p01',21655194
b'DES0939+1543',b'DEC/multiepoch/delve/r5918/DES0939+1543/p01',21655210
b'DES0939-0750',b'DEC/multiepoch/delve/r5918/DES0939-0750/p01',21655220
b'DES0941+0835',b'DEC/multiepoch/delve/r5918/DES0941+0835/p01',21655259
b'DES0942+2543',b'DEC/multiepoch/delve/r5918/DES0942+2543/p01',21655291
b'DES0943+1209',b'DEC/multiepoch/delve/r5918/DES0943+1209/p01',21655314
b'DES0944+0335',b'DEC/multiepoch/delve/r5918/DES0944+0335/p01',21655332
b'DES0944+1834',b'DEC/multiepoch/delve/r5918/DES0944+1834/p01',21655338
b'DES0944+2625',b'DEC/multiepoch/delve/r5918/DES0944+2625/p01',21655341
b'DES1152-1541',b'DEC/multiepoch/delve/r5918/DES1152-1541/p01',21658608
b'DES0709+2917',b'DEC/multiepoch/delve/r5918/DES0709+2917/p01',21648263
b'DES0724+2625',b'DEC/multiepoch/delve/r5918/DES0724+2625/p01',21648885
b'DES0724+2751',b'DEC/multiepoch/delve/r5918/DES0724+2751/p01',21648886
b'DES0735+1543',b'DEC/multiepoch/delve/r5918/DES0735+1543/p01',21649919
b'DES0711+1626',b'DEC/multiepoch/delve/r5918/DES0711+1626/p03',21649931
b'DES0711+2251',b'DEC/multiepoch/delve/r5918/DES0711+2251/p03',21649934
b'DES0722+1000',b'DEC/multiepoch/delve/r5918/DES0722+1000/p03',21649948
b'DES0737+2625',b'DEC/multiepoch/delve/r5918/DES0737+2625/p02',21650089
b'DES0738+1834',b'DEC/multiepoch/delve/r5918/DES0738+1834/p02',21650101
b'DES0738+2417',b'DEC/multiepoch/delve/r5918/DES0738+2417/p02',21650104
b'DES0740+1626',b'DEC/multiepoch/delve/r5918/DES0740+1626/p02',21650127
