,z,b(z),integrated_wdm(z),integrated_w_auto_boss
0,0.125,1.4347062963941857,0.2634063325659291,0.5421908949716321
1,0.175,1.6208386876308447,0.24165858630587092,0.6348656343408381
2,0.225,1.71966951726881,0.22658889448438418,0.6700830102049069
3,0.275,1.9062979375223132,0.21396851126603156,0.777555541720694
4,0.32499999999999996,1.9207776444191529,0.19082681969813373,0.7040339419136973
5,0.375,1.9684172082151168,0.19391052877604298,0.7513385921491076
6,0.42500000000000004,2.0365103522142145,0.19286509435424765,0.7998837578088146
7,0.475,2.000034270133077,0.18764488051561462,0.7506052447429428
8,0.525,1.9537600574554403,0.1775387615255378,0.6776971189307859
9,0.575,2.0961508335995904,0.16271715531772274,0.7149544990723891
10,0.625,2.184766808661284,0.14763533082786773,0.7046938481343082
11,0.675,2.3373983583125204,0.13657514105137888,0.7461688711187382
12,0.725,2.5825584781238082,0.11776013924841257,0.7854140013077052
13,0.775,2.9281554117373423,0.09277984530603167,0.7955031256556551
14,0.825,3.025877730627013,0.07217011075262293,0.6607849181015744
15,0.875,3.0695861808783538,0.06920110033981683,0.6520376328684139
16,0.925,2.821031540076088,0.06787001374905868,0.5401244295615821
17,0.975,2.5263048081235104,0.06660729934288484,0.4251021704871237
18,1.025,2.576222917570477,0.06536964556495863,0.4338534035801556
19,1.0750000000000002,2.242585698907881,0.06420486595115404,0.32289850940382914
